Date,Quality,Benchmarks,Quality_Cumulative_Relative,trend_t1,trend_tval,trend_bin
2004-01-01,,0.037827789,,,,
2004-02-01,,-0.001955636,,,,
2004-03-01,,0.00307856,,,,
2004-04-01,,-0.017248493,,,,
2004-05-01,,0.005029323,,,,
2004-06-01,,-0.014684257,,,,
2004-07-01,,0.014894445,,,,
2004-08-01,,0.079879626,,,,
2004-09-01,,0.062973913,,,,
2004-10-01,,0.020367847,,,,
2004-11-01,,0.085300347,,,,
2004-12-01,,0.025662177,,,,
2005-01-01,,0.007555399,,,,
2005-02-01,,0.045355874,,,,
2005-03-01,,-0.018279567,,,,
2005-04-01,,-0.035156225,,,,
2005-05-01,,0.079159771,,,,
2005-06-01,,0.03187868,,,,
2005-07-01,,0.078711865,,,,
2005-08-01,,0.02139373,,,,
2005-09-01,,0.08921522,,,,
2005-10-01,,-0.028533595,,,,
2005-11-01,,0.028064135,,,,
2005-12-01,,0.088098664,,,,
2006-01-01,,0.090673183,,,,
2006-02-01,,-0.023144911,,,,
2006-03-01,,0.069389761,,,,
2006-04-01,,0.026443688,,,,
2006-05-01,,-0.044586454,,,,
2006-06-01,,0.01525751,,,,
2006-07-01,,-0.008565387,,,,
2006-08-01,,0.051212343,,,,
2006-09-01,,0.020905065,,,,
2006-10-01,,0.054007063,,,,
2006-11-01,,0.03698954,,,,
2006-12-01,,0.055655238,,,,
2007-01-01,,0.031607021,,,,
2007-02-01,0.026,0.013402337,0.012597662999999981,2007-04-01,-2.440135817361641,0.0
2007-03-01,0.0502,0.058969674,0.0037175116023282495,2007-10-01,3.4823150797448905,1.0
2007-04-01,0.0451,0.046601518,0.0022104116917420757,2007-06-01,3.2488549500794086,1.0
2007-05-01,0.0016,-0.001875257,0.005693350440446832,2008-03-01,-3.6513284425366823,0.0
2007-06-01,-0.0063,-0.017672582,0.017130680535185405,2008-03-01,-5.417762323599983,0.0
2007-07-01,-0.0014,0.004646672,0.010980424928852317,2008-03-01,-5.042136853036592,0.0
2007-08-01,0.0163,0.008106132,0.0192642650813033,2008-03-01,-6.8252903452905755,0.0
2007-09-01,0.0234,0.030137372,0.012397102561144013,2008-03-01,-5.3285248261432985,0.0
2007-10-01,0.0746,0.068083268,0.018994623156111334,2008-03-01,-4.894266746183635,0.0
2007-11-01,-0.0518,-0.033138791,-2.104847648110031e-05,2008-03-01,-3.572188925925582,0.0
2007-12-01,-0.0316,-0.03544216,0.0038210306519046444,2008-03-01,-5.506760912728589,0.0
2008-01-01,-0.0798,-0.070071666,-0.005944475610501265,2008-11-01,5.767407024038003,1.0
2008-02-01,0.1079,0.109366053,-0.007401813694199122,2008-12-01,8.19357652787416,1.0
2008-03-01,-0.0429,-0.034053388,-0.016182944720350312,2009-01-01,11.995287138993449,1.0
2008-04-01,0.0524,0.039239558,-0.0032354774257317143,2009-02-01,12.770694921099246,1.0
2008-05-01,0.0265,0.028075951,-0.004806329471847115,2009-02-01,14.07456495812835,1.0
2008-06-01,-0.073,-0.065580279,-0.01219038884813195,2009-02-01,12.430881478925471,1.0
2008-07-01,-0.0195,-0.050487925,0.01841978129652122,2009-02-01,12.681920569714034,1.0
2008-08-01,0.0086,0.012569972,0.01437668328052788,2009-02-01,11.4882462971949,1.0
2008-09-01,-0.0828,-0.104938741,0.036833705948114526,2009-01-01,14.565046506352274,1.0
2008-10-01,-0.1146,-0.119188036,0.04159073631701782,2009-01-01,17.822439360808463,1.0
2008-11-01,0.0214,0.008668369,0.05485188522482454,2009-01-01,78.2193994821308,1.0
2008-12-01,0.0388,0.029790774,0.0643552842553412,2009-02-01,3.893882624182452,1.0
2009-01-01,-0.0379,-0.047233168,0.07428909093498404,2009-11-01,-1.890358507445571,0.0
2009-02-01,-0.0911,-0.094653218,0.07810627427009775,2009-12-01,-2.0650511429346348,0.0
2009-03-01,0.0977,0.106042079,0.06911262655974104,2009-07-01,1.8771030228432115,1.0
2009-04-01,0.0354,0.023708955,0.08161167038691919,2009-11-01,-2.4455374757099415,0.0
